179,279,122,54,231,130
170,201,123,55,163,130
177,279,124,54,231,131
169,200,125,53,161,132
181,279,124,54,231,131
65479,65479,65479,65479,232,131
168,200,123,52,162,131
175,282,125,54,233,132
177,282,126,55,233,132
65479,65479,65479,65479,233,131
65479,65479,65479,65479,175,130
65479,65479,65479,65479,232,133
171,199,126,54,160,132
178,284,128,57,233,133
181,282,127,54,233,133
168,199,126,54,160,132
175,282,125,56,232,131
65479,65479,65479,65479,232,133
172,202,128,58,162,132
186,284,126,58,234,131
