57,193,235,146,55,197,236,144,55,185,58,189,56,189,60,179
57,193,235,146,57,200,235,145,55,185,62,190,58,190,64,180
57,193,235,146,55,263,254,144,55,185,111,210,74,247,110,201
57,193,235,146,57,193,236,144,55,185,54,186,55,186,57,174
57,193,235,146,58,197,236,145,55,185,58,188,56,188,60,178
57,193,235,146,55,275,244,144,55,185,140,197,84,253,137,189
57,193,235,146,55,194,233,143,55,185,58,186,57,186,61,176
57,193,235,146,57,200,239,145,55,185,57,191,56,191,60,181
57,193,235,146,56,193,234,143,55,185,56,185,57,185,59,175
57,193,235,146,54,197,234,146,55,185,60,188,56,188,62,178
57,193,235,146,56,-42,237,147,55,185,54,186,24,127,60,179
57,193,235,146,53,267,242,145,55,185,131,194,80,245,129,186
57,193,235,146,55,194,235,146,55,185,56,186,55,186,59,176
57,193,235,146,57,273,244,146,55,185,132,196,82,251,134,188
57,193,235,146,57,197,236,145,55,185,58,188,56,188,60,178
57,193,235,146,58,196,238,147,55,185,54,188,54,188,57,177
57,193,235,146,59,195,235,147,55,185,57,186,55,186,60,176
57,193,235,146,54,197,236,144,55,185,58,189,56,189,60,179
57,193,235,146,56,198,235,144,55,185,60,189,57,189,62,179
57,193,235,146,56,197,235,148,55,185,58,187,55,187,61,178
