194,245,164,65479,182,155
190,245,162,65479,184,159
188,243,161,65479,182,159
191,243,160,65479,183,156
189,248,166,65479,184,164
195,248,163,65479,187,158
194,247,162,65479,186,158
190,246,166,65479,182,161
187,243,159,65479,184,160
188,244,161,65479,184,160
190,248,168,65479,183,163
190,246,164,65479,184,161
190,249,165,65479,186,164
191,247,163,65479,186,161
185,243,158,65479,185,162
191,248,164,65479,186,162
188,243,161,65479,182,159
188,245,162,65479,184,161
191,245,163,65479,183,158
188,246,163,65479,184,162
