134,141,155,156,89,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
1000,1000,1000,1000,88,101
134,156,156,141,98,110
1000,1000,1000,1000,98,110
1000,1000,1000,1000,98,110
1000,1000,1000,1000,98,110
136,141,151,143,95,103
136,142,165,150,88,103
135,152,152,139,99,108
132,141,151,140,94,105
135,142,154,145,93,104
135,151,152,139,98,108
