177,234,153,65479,178,158
180,232,158,65479,172,153
180,233,156,65479,174,154
177,234,154,65479,177,158
188,235,155,65479,178,149
180,237,155,65479,180,159
252,235,158,65479,175,79
179,235,159,65479,174,157
189,235,159,65479,174,148
180,236,155,65479,179,158
177,235,154,65479,178,159
178,233,154,65479,176,156
250,235,154,65479,178,81
175,232,155,65479,174,157
176,231,153,65479,174,155
189,234,158,65479,174,147
178,235,158,65479,175,158
179,236,156,65479,178,159
181,234,159,65479,173,154
177,235,158,65479,175,159
