179,275,113,65,224,121
178,191,114,63,162,121
182,278,116,68,225,122
182,196,118,67,164,121
182,279,116,67,226,122
176,193,116,66,161,122
194,278,113,63,231,122
65479,65479,65479,65479,229,122
65479,65479,65479,65479,225,120
65479,65479,65479,65479,226,123
65479,65479,65479,65479,227,124
176,199,116,68,165,122
183,215,117,66,178,123
65479,65479,65479,65479,227,124
178,196,115,64,165,122
177,279,112,63,228,121
174,194,114,64,162,122
186,213,115,64,178,122
172,194,114,65,162,121
183,282,117,65,230,124
