265,226,190,65479,137,52
128,225,189,65479,137,185
266,228,189,65479,140,53
130,227,189,65479,139,186
268,226,193,65479,134,48
130,226,191,65479,136,185
266,226,190,65479,137,50
130,226,188,65479,139,185
264,229,191,65479,139,56
133,225,190,65479,136,182
266,227,188,65479,140,51
134,239,188,65479,154,197
268,228,190,65479,139,50
130,223,189,65479,135,182
265,228,187,65479,142,54
130,227,188,65479,140,186
269,229,189,65479,141,50
127,224,188,65479,137,185
266,224,188,65479,137,48
131,225,189,65479,137,183
